Datum;Arbeitslose SH
01.07.2013;101428
02.07.2013;101428
03.07.2013;101428
04.07.2013;101428
05.07.2013;101428
06.07.2013;101428
07.07.2013;101428
08.07.2013;101428
09.07.2013;101428
10.07.2013;101428
11.07.2013;101428
12.07.2013;101428
13.07.2013;101428
14.07.2013;101428
15.07.2013;101428
16.07.2013;101428
17.07.2013;101428
18.07.2013;101428
19.07.2013;101428
20.07.2013;101428
21.07.2013;101428
22.07.2013;101428
23.07.2013;101428
24.07.2013;101428
25.07.2013;101428
26.07.2013;101428
27.07.2013;101428
28.07.2013;101428
29.07.2013;101428
30.07.2013;101428
31.07.2013;101428
01.08.2013;98697
02.08.2013;98697
03.08.2013;98697
04.08.2013;98697
05.08.2013;98697
06.08.2013;98697
07.08.2013;98697
08.08.2013;98697
09.08.2013;98697
10.08.2013;98697
11.08.2013;98697
12.08.2013;98697
13.08.2013;98697
14.08.2013;98697
15.08.2013;98697
16.08.2013;98697
17.08.2013;98697
18.08.2013;98697
19.08.2013;98697
20.08.2013;98697
21.08.2013;98697
22.08.2013;98697
23.08.2013;98697
24.08.2013;98697
25.08.2013;98697
26.08.2013;98697
27.08.2013;98697
28.08.2013;98697
29.08.2013;98697
30.08.2013;98697
31.08.2013;98697
01.09.2013;96817
02.09.2013;96817
03.09.2013;96817
04.09.2013;96817
05.09.2013;96817
06.09.2013;96817
07.09.2013;96817
08.09.2013;96817
09.09.2013;96817
10.09.2013;96817
11.09.2013;96817
12.09.2013;96817
13.09.2013;96817
14.09.2013;96817
15.09.2013;96817
16.09.2013;96817
17.09.2013;96817
18.09.2013;96817
19.09.2013;96817
20.09.2013;96817
21.09.2013;96817
22.09.2013;96817
23.09.2013;96817
24.09.2013;96817
25.09.2013;96817
26.09.2013;96817
27.09.2013;96817
28.09.2013;96817
29.09.2013;96817
30.09.2013;96817
01.10.2013;96785
02.10.2013;96785
03.10.2013;96785
04.10.2013;96785
05.10.2013;96785
06.10.2013;96785
07.10.2013;96785
08.10.2013;96785
09.10.2013;96785
