Feiertag;Datum;Gesetzlicher Feiertag;Brückentag ;Brückentag_Die;Brückentag_Mit;Brückentag_Don;Langes Wochenende ;Langes_Wochenende_Mon;Langes_Wochenende_Fr;Langes_Wochenende_Sa;Langes_Wochenende_So;Langes_Wochenende_Die
Neujahr;01.01.2012;1;0;0;0;0;0;0;0;0;0;1
Heilige Drei Könige;06.01.2012;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2012;0;0;0;0;0;0;0;0;0;0;0
Altweiber;16.02.2012;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;20.02.2012;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;21.02.2012;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;22.02.2012;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;05.04.2012;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;06.04.2012;1;0;0;0;0;1;0;1;0;0;0
Ostersamstag;07.04.2012;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;08.04.2012;1;0;0;0;0;1;0;0;0;1;0
Ostermontag;09.04.2012;1;0;0;0;0;1;1;0;0;0;0
Erster Mai;01.05.2012;1;1;1;0;0;0;0;0;0;0;0
Himmelfahrt;17.05.2012;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;27.05.2012;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;28.05.2012;1;0;0;0;0;1;1;0;0;0;0
Fronleichnam;07.06.2012;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2012;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2012;1;0;0;0;0;0;0;0;0;0;0
Reformationstag;31.10.2012;0;0;0;0;0;0;0;0;0;0;0
Allerheiligen;01.11.2012;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;18.11.2012;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;21.11.2012;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;25.11.2012;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2012;0;0;0;0;0;0;0;0;0;0;0
